Transcript	GeneName
NM_001126104	RACGAP1
NM_000486	AQP2
NM_001652	AQP6
NM_001651	AQP5
NM_005276	GPD1
NM_003076	SMARCD1
NM_001257134	COX14
NM_147190	CERS5
NR_031625	MIR1293
NM_005171	ATF1
NM_014033	METTL7A
NM_001109619	HIGD1C
NM_030809	CSRNP2
NM_001243689	LETMD1
NM_001136266	DAZAP2
NM_002702	POU6F1
NM_016293	BIN2
NM_001971	CELA1
NM_001013690	FIGNL2
NM_182608	ANKRD33
NM_020328	ACVR1B
NM_001077401	ACVRL1
NM_181711	GRASP
NM_001098673	ATG101
NM_173157	NR4A1
NM_002281	KRT81
NM_001242696	C12orf80
NM_182507	KRT80
NM_005556	KRT7
NR_027358	LINC00592
NM_002284	KRT86
NM_002283	KRT85
NM_033045	KRT84
NM_033033	KRT82
NM_002282	KRT83
NM_000424	KRT5
NM_005555	KRT6B
NM_005554	KRT6A
NM_033448	KRT71
NM_173086	KRT6C
NM_175068	KRT73
NM_000423	KRT2
NM_006121	KRT1
NM_175053	KRT74
NM_080747	KRT72
NM_002272	KRT4
NM_015848	KRT76
NM_057088	KRT3
NM_173352	KRT78
NM_001256282	KRT8
NM_032840	SPRYD3
NM_001417	EIF4B
NM_170754	TNS2
NR_033854	LOC283335
NM_002178	IGFBP6
NM_000889	ITGB7
NM_003578	SOAT2
NM_001004304	ZNF740
NM_001244705	CSAD
NM_001170790	MFSD5
NM_021640	C12orf10
NM_015665	AAAS
NM_002624	PFDN5
NM_152860	SP7
NM_012291	ESPL1
NM_020547	AMHR2
NM_018457	PRR13
NM_138473	SP1
NR_046221	LOC100652999
NM_134324	TARBP2
NM_001193511	MAP3K12
NM_003717	NPFF
NM_005176	ATP5G2
NM_020898	CALCOCO1
NR_047507	HOXC13-AS
NR_029617	MIR196A2
NM_014212	HOXC11
NM_017409	HOXC10
NM_017410	HOXC13
NM_173860	HOXC12
NR_047517	HOTAIR
NM_022658	HOXC8
NR_026655	FLJ12825
NM_004503	HOXC6
NR_030753	MIR615
NR_026657	LOC100240734
NM_153633	HOXC4
NM_018953	HOXC5
NR_026658	LOC100240735
NM_001127321	CBX5
NM_001243788	SMUG1
NM_031157	HNRNPA1
NM_001271736	COPZ1
NM_001136023	NFE2
NR_029894	MIR148B
NM_001130967	ZNF385A
NM_020370	GPR84
NM_144594	GTSF1
NM_002205	ITGA5
NM_033277	LACRT
NM_053283	DCD
NM_000924	PDE1B
NR_003039	GLYCAM1
NM_006741	PPP1R1A
NM_058173	MUCL1
NM_001098815	TESPA1
NM_021191	NEUROD4
NM_001005243	OR9K2
NM_001005280	OR10A7
NM_001005493	OR6C6
NM_001005490	OR6C74
NM_054104	OR6C3
NM_001005518	OR6C65
NM_001005497	OR6C75
NM_001005183	OR6C76
NM_001005182	OR6C1
NM_001005519	OR6C68
NM_054105	OR6C2
NM_001005499	OR6C70
NM_001005494	OR6C4
NM_152637	METTL7B
NM_206899	OR10P1
NM_001258285	OR2AP1
NM_001257390	CD63
NM_001199771	RDH5
NM_014182	ORMDL2
NM_005811	GDF11
NM_001487	BLOC1S1
NM_032364	DNAJC14
NM_201554	DGKA
NM_032345	WIBG
NM_001200054	PMEL
NM_001032387	SUOX
NM_002868	RAB5B
NM_001029	RPS26
NM_022465	IKZF4
NM_006191	PA2G4
NM_001035267	RPL41
NM_032786	ZC3H10
NM_001184796	ESYT1
NM_002475	MYL6B
NM_194359	RNF41
NM_003075	SMARCC2
NM_079423	MYL6
NM_001127460	PAN2
NM_004077	CS
NM_014255	CNPY2
NM_016584	IL23A
NM_005419	STAT2
NM_173596	SLC39A5
NM_173595	ANKRD52
NM_144576	COQ10A
NM_012064	MIP
NM_207344	SPRYD4
NM_003920	TIMELESS
NM_013267	GLS2
NM_001638	APOF
NM_002898	RBMS2
NR_002737	SNORD59A
NM_000946	PRIM1
NR_003046	SNORD59B
NM_001686	ATP5B
NM_001113203	NACA
NM_006601	PTGES3
NM_003725	HSD17B6
NM_003708	RDH16
NM_014830	ZBTB39
NM_148897	SDR9C7
NM_007264	GPR182
NM_003153	STAT6
NM_005379	MYO1A
NM_005967	NAB2
NM_001130963	TMEM194A
NM_007224	NXPH4
NM_145064	STAC3
NM_020142	NDUFA4L2
NM_005412	SHMT2
NR_031597	MIR1228
NM_004990	MARS
NM_005538	INHBC
NM_052897	MBD6
NM_032496	ARHGAP9
NM_005269	GLI1
NM_001195055	DDIT3
NM_031479	INHBE
NM_004984	KIF5A
NM_001478	B4GALNT1
NM_001111270	ARHGEF25
NM_178502	DTX3
NM_024779	PIP4K2C
NM_133489	SLC26A10
NM_000785	CYP27B1
NM_001122772	AGAP2
NM_005981	TSPAN31
NM_001172696	TSFM
NM_015433	METTL21B
NM_000075	CDK4
NM_005371	METTL1
NM_006812	OS9
NR_027032	AGAP2-AS1
NM_138396	MARCH9
NR_029847	MIR26A2
NM_005730	CTDSP2
NM_033276	XRCC6BP1
NM_153377	LRIG3
NR_029661	MIRLET7I
NM_000706	AVPR1A
NM_014254	TMEM5
NM_152440	C12orf66
NM_007235	XPOT
NR_030347	MIR548C
NR_037515	MIR548Z
NR_033988	FLJ41278
NM_007191	WIF1
NM_014319	LEMD3
NM_032338	LLPH
NM_016056	TMBIM4
NM_018448	CAND1
NM_006482	DYRK2
NM_020525	IL22
NM_018402	IL26
NM_017440	MDM1
NR_033335	SNORA70G
NM_001010942	RAP1B
NM_018656	SLC35E3
NR_073494	LOC100130075
NM_020401	NUP107
NM_001005502	CPM
NR_031692	MIR1279
NM_007007	CPSF6
NM_000239	LYZ
NM_006530	YEATS4
NM_001042555	FRS2
NR_037476	MIR3913-2
NR_037475	MIR3913-1
NM_201550	LRRC10
NM_032735	BEST3
NM_022456	RAB3IP
NM_001109754	PTPRB
NM_004616	TSPAN8
NM_031435	THAP2
NM_144982	ZFC3H1
NM_014999	RAB21
NR_024072	MRS2P2
NM_022771	TBC1D15
NR_026836	TRHDE-AS1
NM_001136262	ATXN7L3B
NM_032606	CAPS2
NM_001270396	GLIPR1L2
NM_007043	KRR1
NM_004537	NAP1L1
NM_007350	PHLDA1
NM_024685	BBS10
NM_001321	CSRP2
NM_203394	E2F7
NR_031700	MIR1252
NM_002583	PAWR
NM_002469	MYF6
NM_005593	MYF5
NR_030348	MIR617
NR_030349	MIR618
NR_039848	MIR4699
NM_014167	CCDC59
NM_182767	SLC6A15
NM_001100917	TSPAN19
NM_006982	ALX1
NM_005447	RASSF9
NM_006183	NTS
NR_039710	MIR548AL
NR_033410	MKRN9P
NM_152589	C12orf50
NM_001009894	C12orf29
NM_181783	TMTC3
NM_000899	KITLG
NR_038385	LOC728084
NM_001946	DUSP6
NR_028138	LINC00936
NM_152638	CCER1
NR_038868	LINC00615
NM_004950	EPYC
NM_007035	KERA
NM_002345	LUM
NM_133503	DCN
NM_001025232	CLLU1OS
NM_001025233	CLLU1
NM_001037671	C12orf74
NM_001004330	PLEKHG7
NM_003348	UBE2N
NM_019094	NUDT4
NM_001270469	SOCS2
NM_172177	MRPL42
NR_038263	SOCS2-AS1
NM_001270471	SOCS2
NR_027035	CEP83-AS1
NR_049885	MIR5700
NR_036685	KRT19P2
NM_018838	NDUFA12
NR_037456	MIR3685
NR_029895	MIR331
NM_001042403	USP44
NM_006838	METAP2
NR_077225	PGAM1P5
NM_182496	CCDC38
NM_003095	SNRPF
NM_002108	HAL
NM_000895	LTA4H
NM_001135176	NEDD1
NR_031653	MIR1251
NR_029678	MIR135A2
NR_077240	LOC643711
NR_036189	MIR4303
NR_038383	LOC643770
NM_003276	TMPO
NR_033801	SLC9A7P1
NR_027157	TMPO-AS1
NR_003015	SNORA53
NM_153687	IKBIP
NM_005888	SLC25A3
NM_153364	FAM71C
NM_152317	DEPDC4
NR_036632	GOLGA2P5
NM_022496	ACTR6
NR_031728	MIR1827
NR_024261	GOLGA2P5
NM_174942	GAS2L3
NM_001177	ARL1
NM_152323	SPIC
NM_001254718	MYBPC1
NM_001177948	SYCP3
NM_024312	GNPTAB
NM_018370	DRAM1
NM_016053	CCDC53
NM_002674	PMCH
NM_017915	PARPBP
NM_001111285	IGF1
NR_033855	LINC00485
NM_004316	ASCL1
NR_027249	TTC41P
NM_001135570	C12orf73
NM_031302	GLT8D2
NM_003211	TDG
NM_006166	NFYB
NM_001008394	EID3
NR_037487	MIR3922
NM_001034173	ALDH1L2
NM_001251904	APPL2
NM_001145199	C12orf75
NM_014840	NUAK1
NM_006825	CKAP4
NM_152772	TCP11L2
NR_038912	LOC100505978
NM_152261	TMEM263
NM_025198	MTERF2
NM_007062	PWP1
NM_203436	ASCL4
NR_037629	LOC728739
NM_001142345	CMKLR1
NM_007076	FICD
NM_213595	ISCU
NM_001206609	SELPLG
NM_181724	TMEM119
NM_001917	DAO
NM_032663	USP30
NM_001145375	ALKBH2
NM_080911	UNG
NR_038996	USP30-AS1
NM_001093	ACACB
NM_213596	FOXN4
NM_031954	KCTD10
NM_052845	MMAB
NM_001114185	MVK
NR_026661	FAM222A-AS1
NM_032829	FAM222A
NM_001143852	TCHP
NM_016433	GLTP
NR_039718	MIR4497
NM_033121	ANKRD13A
NM_057169	GIT2
NM_016238	ANAPC7
NM_013300	FAM216A
NM_001164372	GPN3
NM_057180	VPS29
NM_152442	RAD9B
NM_001082538	TCTN1
NM_032369	HVCN1
NM_001244974	PPP1CC
NR_036513	LINC01405
NM_152591	CCDC63
NM_000432	MYL2
NM_005475	SH2B3
NM_001136538	ACAD10
NM_006768	BRAP
NM_000690	ALDH2
NR_015404	MAPKAPK5-AS1
NM_001193531	TMEM116
NR_036636	ADAM1A
NM_024953	NAA25
NM_000970	RPL6
NM_002834	PTPN11
NM_016816	OAS1
NM_016817	OAS2
NM_001111322	DDX54
NM_001193521	RASAL1
NM_001144872	CCDC42B
NM_032848	RITA1
NM_001143819	TPCN1
NM_173542	PLBD2
NM_006843	SDS
NM_138432	SDSL
NR_038440	TBX5-AS1
NM_016569	TBX3
NR_030351	MIR620
NR_039683	MIR4472-2
NM_001085481	MAP1LC3B2
NR_027345	LINC00173
NM_024738	C12orf49
NM_017899	TESC
NM_033624	FBXO21
NM_007370	RFC5
NM_019086	VSIG10
NM_002567	PEBP1
NM_022491	SUDS3
NM_014365	HSPB8
NM_006253	PRKAB1
NR_031589	MIR1178
NM_006861	RAB35
NR_038924	PXN-AS1
NM_001002	RPLP0
NM_001243756	PXN
NR_039719	MIR4498
NM_002442	MSI1
NM_000928	PLA2G1B
NM_012240	SIRT4
NM_001037495	DYNLL1
NM_004373	COX6A1
NM_003769	SRSF9
NM_176818	GATC
NM_032314	COQ5
NM_016399	TRIAP1
NR_038854	NRAV
NM_001033677	CABP1
NM_015918	POP5
NM_014730	MLEC
NM_001080533	UNC119B
NM_000017	ACADS
NM_000545	HNF1A
NR_024345	HNF1A-AS1
NM_022895	C12orf43
NM_003733	OASL
NM_002562	P2RX7
NM_001270485	CAMKK2
NM_001256796	P2RX4
NM_025126	RNF34
NR_049838	MIR548AQ
NM_173855	MORN3
NM_032790	ORAI1
NM_015048	SETD1B
NM_019034	RHOF
NR_002809	LINC01089
NM_002813	PSMD9
NM_020993	BCL7A
NM_001014336	IL31
NM_019887	DIABLO
NM_022916	VPS33A
NM_030765	B3GNT4
NR_045382	CLIP1-AS1
NM_023012	RSRC2
NM_017612	ZCCHC8
NM_006018	HCAR3
NM_177551	HCAR2
NM_032554	HCAR1
NM_003677	DENR
NM_201435	CCDC62
NM_024623	OGFOD2
NM_019625	ABCB9
NM_024667	VPS37B
NM_018694	ARL6IP4
NR_036187	MIR4304
NR_038290	LOC100507091
NM_022782	MPHOSPH9
NM_004642	CDK2AP1
NM_001167856	SBNO1
NM_145058	RILPL2
NM_022717	SNRNP35
NM_020382	SETD8
NM_001414	EIF2B1
NR_037470	MIR3908
NM_006815	TMED2
NM_020936	DDX55
NM_024809	TCTN2
NM_012463	ATP6V0A2
NM_025140	CCDC92
NM_001204298	ZNF664
NM_021009	UBC
NR_049820	MIR5188
NM_080626	BRI3BP
NR_034132	LINC00939
NR_015398	LOC100128554
NR_038256	LINC00943
NR_033878	LINC00944
NR_033970	LOC440117
NR_046392	LINC00507
NR_033987	FLJ37505
NR_037406	MIR3612
NM_145648	SLC15A4
NR_024457	LOC100190940
NR_033834	FZD10-AS1
NM_007197	FZD10
NM_004764	PIWIL1
NM_194356	STX2
NM_006325	RAN
NR_026670	LINC01257
NM_016155	MMP17
NM_025215	PUS1
NR_003290	EP400NL
NM_175066	DDX51
NM_024078	NOC4L
NR_002979	SNORA49
NR_024563	LOC100130238
NM_001142641	FBRSL1
NM_018663	PXMP2
NM_170683	P2RX2
NM_001195520	LRCOL1
NM_006231	POLE
NM_001170543	PGAM5
NM_005895	GOLGA3
NM_015114	ANKLE2
NM_001164715	ZNF605
NM_003440	ZNF140
NM_001127372	ZNF84
NM_001256279	ZNF26
NM_003415	ZNF268
NM_001191054	ANHX
NM_015394	ZNF10
NM_001277291	ZNF891
NM_203487	PCDH9
NM_024561	NAA16
NM_002267	KPNA3
NR_002815	TPTE2P6
NM_004466	GPC5
NM_153251	ZDHHC20
NM_007106	UBL3
NM_006646	WASF3
NM_016529	ATP8A2
NR_038287	TEX26-AS1
NR_027062	EEF1DP3
NM_015678	NBEA
NM_004734	DCLK1
NM_182542	ERICH6B
NM_183422	TSC22D1
NM_001127615	ENOX1
NM_020377	CYSLTR2
NM_001164211	LRCH1
NM_198989	DLEU7
NM_080759	DACH1
NM_006346	PIBF1
NM_007249	KLF12
NM_012158	FBXL3
NR_047001	RNF219-AS1
NR_046871	LINC00333
NR_046989	LINC00351
NM_005708	GPC6
NM_015296	DOCK9
NM_020121	UGGT2
NM_052867	NALCN
NM_175929	FGF14
NM_001080396	FAM155A
NM_007111	TFDP1
NM_001846	COL4A2
NM_001042414	PSPC1
NM_197968	ZMYM2
NM_199254	TPTE2
NM_014572	LATS2
NM_006531	IFT88
NM_022459	XPO4
NR_046461	MIPEPP3
NR_038939	MIPEPP3
NM_152726	MICU2
NM_000231	SGCG
NM_014363	SACS
NM_001166271	SPATA13
NM_006437	PARP4
NM_005932	MIPEP
NR_073430	ANKRD20A19P
NM_031277	RNF17
NM_004685	MTMR6
NM_001260	CDK8
NM_182488	USP12
NM_153371	LNX2
NM_175854	PAN3
NM_002019	FLT1
NM_003045	SLC7A1
NM_001033602	MTUS2
NM_005800	USPL1
NR_024464	LINC00426
NM_001014380	KATNAL1
NM_001204406	ALOX5AP
NM_130806	RXFP2
NM_006644	HSPH1
NM_194318	B3GALTL
NM_033111	N4BP2L2
NM_000059	BRCA2
NM_015032	PDS5B
NM_023037	FRY
NR_047020	LINC00423
NM_178006	STARD13
NR_047036	LINC00457
NM_001014286	SUPT20H
NM_001127217	SMAD9
NM_001198910	CCDC169-SOHLH2
NM_003306	TRPC4
NM_006475	POSTN
NR_047500	LINC00571
NM_207361	FREM2
NM_016617	UFM1
NM_005780	LHFP
NM_020751	COG6
NM_002015	FOXO1
NR_038259	TPTE2P5
NM_004294	MTRF1
NM_172373	ELF1
NM_178009	DGKH
NM_016248	AKAP11
NM_015058	VWA8
NM_001002264	EPSTI1
NM_013238	DNAJC15
NM_144974	CCDC122
NM_001010897	SERP2
NM_004128	GTF2F2
NR_046226	CPB2-AS1
NM_001872	CPB2
NM_198849	SIAH3
NM_025113	KIAA0226L
NM_000621	HTR2A
NM_000321	RB1
NR_051983	LINC00462
NM_030925	CAB39L
NM_001079673	FNDC3A
NM_173605	KCNRG
NR_002612	DLEU2
NM_052950	WDFY2
NM_024570	RNASEH2B
NM_000053	ATP7B
NM_199289	NEK5
NM_018676	THSD1
NM_001011725	HNRNPA1L2
NR_002793	TPTE2P3
NM_006418	OLFM4
NR_047488	LINC00558
NM_001042517	DIAPH3
NM_001146070	TDRD3
NM_020866	KLHL1
NR_047699	LINC00348
NM_014832	TBC1D4
NM_006002	UCHL3
NM_005358	LMO7
NM_144777	SCEL
NM_015057	MYCBP2
NM_019080	NDFIP2
NM_022118	RBM26
NR_033829	MIR4500HG
NR_046536	GPC6-AS2
NM_005845	ABCC4
NM_006984	CLDN10
NM_006260	DNAJC3
NM_153456	HS6ST3
NM_144778	MBNL2
NM_001032296	STK24
NM_005766	FARP1
NM_178861	RNF113B
NM_005073	SLC15A1
NM_001144072	UBAC2
NM_206808	CLYBL
NR_039765	MIR548AN
NM_000282	PCCA
NM_032813	TMTC4
NR_047687	NALCN-AS1
NM_004791	ITGBL1
NR_036486	FGF14-IT1
NM_003291	TPP2
NR_026965	METTL21EP
NM_018011	ARGLU1
NM_015011	MYO16
NM_001845	COL4A1
NM_018210	CARKD
NM_001113511	ARHGEF7
NM_017664	ANKRD10
NM_005986	SOX1
NM_001112732	MCF2L
NM_001008895	CUL4A
NM_032189	ATP11A
NM_000131	F7
NM_017905	TMCO3
NM_000820	GAS6
NM_002929	GRK1
NM_001164144	CHAMP1
NM_007368	RASA3
NR_047508	LINC00417
NR_027995	ANKRD20A9P
NR_026852	LINC00442
NM_006001	TUBA3C
NR_046927	RNU6-52P
NR_027248	ANKRD26P3
NR_034026	LINC00421
NM_017520	MPHOSPH8
NM_001142684	ZMYM5
NM_021954	GJA3
NM_004004	GJB2
NM_001110221	GJB6
NM_015974	CRYL1
NR_039721	MIR4499
NM_138284	IL17D
NM_174928	N6AMT2
NM_005870	SAP18
NM_145061	SKA3
NM_024026	MRPL57
NM_002010	FGF9
NR_047040	LINC00424
NR_033774	BASP1P1
NR_038995	LINC00327
NR_103450	SACS-AS1
NM_018647	TNFRSF19
NM_001135816	C1QTNF9B-AS1
NM_001007537	C1QTNF9B
NR_031753	MIR2276
NR_046531	SPATA13-AS1
NM_178540	C1QTNF9
NM_001185085	ATP12A
NM_018451	CENPJ
NR_026730	TPTE2P1
NM_030979	PABPC3
NM_152704	AMER2
NM_014089	NUPL1
NM_001007538	SHISA2
NM_005977	RNF6
NM_005288	GPR12
NM_206827	RASL11A
NM_000982	RPL21
NR_002574	SNORD102
NR_002575	SNORA27
NM_002097	GTF3A
NM_001166261	MTIF3
NM_152705	POLR1D
NM_145657	GSX1
NR_002162	ATP5EP2
NM_001105577	URAD
NM_000209	PDX1
NM_001265	CDX2
NM_004119	FLT3
NR_029383	PAN3-AS1
NM_015932	POMP
NM_001135919	SLC46A3
NR_046378	MTUS2-AS1
NR_033889	LINC00544
NR_046510	LINC00297
NM_002128	HMGB1
NR_047012	LINC00398
NM_152325	TEX26
NM_032849	MEDAG
NM_001136571	ZAR1L
NM_052818	N4BP2L1
NR_051980	MINOS1P1
NR_026928	N4BP2L2-IT2
NM_004795	KL
NR_046693	STARD13-AS
NM_002915	RFC3
NM_005584	MAB21L1
NM_015087	SPG20
NR_045180	SPG20-AS1
NM_003914	CCNA1
NM_203451	SERTM1
NM_000538	RFXAP
NM_013338	ALG5
NM_181503	EXOSC8
NM_145203	CSNK1A1L
NR_040244	LINC00547
NR_046999	LINC00366
NM_145286	STOML3
NM_025138	PROSER1
NM_001012754	NHLRC3
NR_036190	MIR4305
NR_046870	LINC00332
NR_033877	LINC00548
NR_031723	MIR320D1
NM_014252	SLC25A15
NM_005830	MRPS31
NR_003365	SUGT1P3
NM_007187	WBP4
NM_032138	KBTBD7
NM_152903	KBTBD6
NM_014059	RGCC
NR_002163	OR7E37P
NR_039974	VWA8-AS1
NM_003701	TNFSF11
NM_182508	FAM216B
NM_001128303	LACC1
NR_026955	LINC00284
NR_046843	SMIM2-IT1
NR_038381	TSC22D1-AS1
NR_038433	LINC00330
NM_012345	NUFIP1
NM_018559	GPALPP1
NM_198404	KCTD4
NM_003295	TPT1
NM_001010875	SLC25A30
NR_002967	SNORA31
NR_024458	TPT1-AS1
NM_031431	COG3
NM_152719	SPERT
NM_015070	ZC3H13
NM_002298	LCP1
NR_047493	LINC00563
NM_001984	ESD
NM_003850	SUCLA2
NM_018283	NUDT15
NM_014166	MED4
NR_046511	MED4-AS1
NR_046414	LINC00441
NM_021999	ITM2B
NM_001162498	LPAR6
NM_001268	RCBTB2
NM_001507	MLNR
NM_030911	CDADC1
NM_001160308	SETDB2
NM_018191	RCBTB1
NM_001040443	PHF11
NM_032565	EBPL
NM_138450	ARL11
NM_020456	SPRYD7
NR_003268	CTAGE10P
NM_001007278	TRIM13
NR_037407	MIR3613
NR_002183	ST13P4
NR_046552	RNASEH2B-AS1
NR_046551	DLEU7-AS1
NR_003923	GUCY1B2
NR_102431	LINC00371
NM_145019	FAM124A
NM_001101320	SERPINE3
NM_012141	INTS6
NR_049878	MIR5693
NR_039852	MIR4703
NM_001270424	DHRS12
NR_027047	LINC00282
NM_031290	CCDC70
NM_001004127	ALG11
NR_051963	MRPS31P5
NM_001146099	NEK3
NM_001098525	CKAP2
NM_016075	VPS36
NM_001130912	SUGT1
NM_007015	LECT1
NM_002590	PCDH8
NR_031582	MIR759
NR_031628	MIR1297
NR_049804	MIR5007
NM_198441	PRR20A
NM_001040429	PCDH17
NR_051994	DIAPH3-AS1
NR_046539	DIAPH3-AS1
NR_046540	DIAPH3-AS2
NR_036128	MIR3169
NM_022843	PCDH20
NR_002171	OR7E156P
NR_046527	PCDH9-AS2
NR_046636	PCDH9-AS3
NR_038878	LINC00550
NR_002717	ATXN8OS
NM_001071775	MZT1
NM_014953	DIS3
NM_024808	BORA
NM_001730	KLF5
NR_047005	LINC00381
NR_034024	LINC00347
NR_027466	CTAGE11P
NM_203497	COMMD6
NM_001257995	LMO7DN
NM_138444	KCTD12
NM_006493	CLN5
NR_026983	BTF3P11
NM_001258406	IRG1
NR_046716	MYCBP2-AS1
NM_001242868	SLAIN1
NR_037438	MIR3665
NM_001201397	EDNRB
NR_047028	LINC00446
NM_006237	POU4F1
NM_024546	RNF219
NR_046869	LINC00331
NR_046685	NDFIP2-AS1
NR_038991	RBM26-AS1
NM_005842	SPRY2
NM_052910	SLITRK1
NM_032229	SLITRK6
NM_015567	SLITRK5
NR_039722	MIR4500
NR_047021	LINC00433
NR_046991	LINC00353
NR_047489	LINC00559
NR_030754	MIR622
NR_027039	LINC00410
NR_047004	LINC00379
NR_027350	MIR17HG
NR_049776	GPC5-AS1
NM_001129889	DCT
NM_014305	TGDS
NM_180989	GPR180
NM_007084	SOX21
NR_046533	CLDN10-AS1
NM_198968	DZIP1
NM_080818	OXGR1
NR_051966	LINC00359
NM_021033	RAP2A
NM_002271	IPO5
NR_036129	MIR3170
NR_036531	UBAC2-AS1
NR_024013	FKSG29
NM_001098200	GPR18
NM_004951	GPR183
NR_030353	MIR623
NM_004800	TM9SF2
NR_036191	MIR4306
NM_033132	ZIC5
NM_007129	ZIC2
NR_047686	PCCA-AS1
NM_033110	GGACT
NR_039603	MIR2681
NR_039854	MIR4705
NR_036487	FGF14-AS2
NM_001146197	CCDC168
NM_001010977	METTL21C
NM_001204425	BIVM-ERCC5
NM_024089	KDELC1
NM_138779	TEX30
NM_000452	SLC10A2
NR_049840	MIR548AS
NR_040247	DAOA-AS1
NM_001161812	DAOA
NR_046391	LINC00343
NR_034119	LINC00460
NM_004093	EFNB2
NR_051977	LINC00551
NR_047026	LINC00443
NM_032859	ABHD13
NM_206937	LIG4
NM_006573	TNFSF13B
NR_047700	MYO16-AS1
NM_003749	IRS2
NM_017817	RAB20
NR_046583	COL4A2-AS1
NM_005537	ING1
NM_024537	CARS2
NR_027701	LINC00346
NM_152324	TEX29
NM_145248	SPACA7
NM_006322	TUBGCP3
NM_207440	ATP11AUN
NR_034002	MCF2L-AS1
NM_001256134	PROZ
NM_000504	F10
NM_001258212	PCID2
NM_024719	GRTP1
NM_005561	LAMP1
NM_001014283	DCUN1D2
NM_138430	ADPRHL1
NM_000705	ATP4B
NM_182614	TMEM255B
NR_028064	LINC00552
NR_047495	LINC00565
NR_044993	GAS6-AS2
NM_001078645	CDC16
NR_049839	MIR548AR
NM_023011	UPF3A
NM_020806	GPHN
NM_001164749	NPAS3
NM_002788	PSMA3
NM_152332	TC2N
NM_001040108	MLH3
NM_022060	ABHD4
NM_001083893	STRN3
NM_014672	KIAA0391
NM_138731	MIPOL1
NR_039996	LINC00648
NM_001243774	GNG2
NM_006544	EXOC5
NM_002863	PYGL
NM_021255	PELI2
NM_178156	FUT8
NM_006255	PRKCH
NM_006246	PPP2R5E
NM_014992	DAAM1
NM_001249	ENTPD5
NM_003049	SLC10A1
NM_016026	RDH11
NM_001163509	DCAF4
NM_001102564	IFT43
NR_038355	DIO2-AS1
NM_001256430	STON2
NM_004796	NRXN3
NM_001010854	TTC7B
NM_183387	EML5
NR_027004	FAM181A-AS1
NM_014226	MOK
NM_004689	MTA1
NM_001969	EIF5
NM_007110	TEP1
NM_001170629	CHD8
NM_020366	RPGRIP1
NM_001130708	C14orf93
NM_002471	MYH6
NM_015299	KHNYN
NM_001048205	REC8
NM_174913	NOP9
NM_014178	STXBP6
NM_002515	NOVA1
NM_002742	PRKD1
NR_039672	MIR548AI
NM_017769	G2E3
NM_016106	SCFD1
NM_025152	NUBPL
NM_015382	HECTD1
NM_015473	HEATR5A
NM_004274	AKAP6
NM_018453	EAPP
NM_173607	FAM177A1
NM_013448	BAZ1A
NR_073454	LINC00609
NM_032352	BRMS1L
NM_194301	RALGAPA1
NM_002791	PSMA6
NM_030631	SLC25A21
NM_001101341	SFTA3
NM_003616	GEMIN2
NM_054024	MIA2
NR_039982	LINC00639
NM_152447	LRFN5
NM_020937	FANCM
NM_015091	FAM179B
NR_102701	LINC00871
NM_001113498	MDGA2
NM_152329	LRR1
NM_172193	KLHDC1
NM_021818	SAV1
NM_004196	CDKL1
NM_006939	SOS2
NM_020921	NIN
NM_024884	L2HGDH
NM_198794	MAP4K5
NM_001267046	FRMD6
NM_015163	TRIM9
NR_047477	FRMD6-AS2
NM_020784	TXNDC16
NM_001099652	GPR137C
NM_001130701	STYX
NM_001134999	FERMT2
NM_001160148	DDHD1
NM_000161	GCH1
NM_015589	SAMD4A
NM_007086	WDHD1
NM_014924	ATG14
NM_001079521	KTN1
NM_001206920	SLC35F4
NM_001001872	C14orf37
NM_016651	DACT1
NM_001244189	KIAA0586
NR_075071	LRRC9
NM_001164399	CCDC175
NM_021136	RTN1
NM_002431	MNAT1
NM_001172702	SLC38A6
NM_174978	C14orf39
NM_003082	SNAPC1
NM_031914	SYT16
NM_020663	RHOJ
NM_139318	KCNH5
NM_001437	ESR2
NM_005956	MTHFD1
NM_080666	WDR89
NM_182914	SYNE2
NM_001202559	CHURC1-FNTB
NM_001024858	SPTB
NM_020715	PLEKHH1
NM_022474	MPP5
NM_133509	RAD51B
NM_004450	ERH
NM_001161498	PLEKHD1
NM_001168368	GALNT16
NM_003861	DCAF5
NM_014734	SUSD6
NM_001034852	SMOC1
NM_183002	SLC8A3
NM_014982	PCNX
NM_015556	SIPA1L1
NM_012074	DPF3
NM_001204424	RGS6
NM_001043318	ELMSAN1
NM_000021	PSEN1
NM_001005743	NUMB
NM_021239	RBM25
NM_001024674	LIN52
NM_000428	LTBP2
NM_019589	YLPM1
NM_182894	VSX2
NM_001933	DLST
NM_006827	TMED10
NM_015072	TTLL5
NM_194287	LRRC74A
NM_004452	ESRRB
NM_017926	GPATCH2L
NM_001010860	SAMD15
NM_020431	TMEM63C
NM_020421	ADCK1
NM_004863	SPTLC2
NM_015859	GTF2A1
NM_152446	CEP128
NM_000369	TSHR
NM_018418	SPATA7
NM_138317	KCNK10
NM_007039	PTPN21
NM_003608	GPR65
NM_001085471	FOXN3
NM_022054	KCNK13
NM_145231	EFCAB11
NM_001008744	TDP1
NM_001102367	C14orf159
NM_001080414	CCDC88C
NM_024764	CATSPERB
NM_004755	RPS6KA5
NM_006329	FBLN5
NM_005606	LGMN
NM_004993	ATXN3
NM_024832	RIN3
NM_153646	SLC24A4
NM_178013	PRIMA1
